# Indice plano de docs/qa/regresiones-manuales.yml - generado por scripts/contexto.py resumenes
# id | severidad | modulo | titulo   (el item completo se lee del yml SOLO si aplica)
REG-001    | blocker   | Variantes / Stock            | DbUpdateException al crear variante por RowVersion en MySQL
REG-002    | major     | Variantes / Stock            | No se podia cargar stock inicial al crear/editar variante
REG-003    | major     | Compras / Crear              | Autocomplete (proveedor / variantes) no devuelve resultados
REG-004    | major     | Compras / Detalle            | Maquina de estados de Compra no respetaba el flujo funcional
REG-005    | major     | Ventas / Crear               | Autocomplete de variantes muestra resultados sin texto
REG-006    | major     | Ventas / Crear               | Medio de pago Cuotas no pedia cantidad ni % financiamiento
REG-007    | major     | Devoluciones / Crear         | Autocomplete 'Nueva variante' no carga en cambios
REG-008    | major     | Ventas / Crear (pagos)       | Input de importe pierde foco al tipear
REG-009    | major     | AumentoMasivo                | Cascada Categoria -> Subgrupo no carga subgrupos
REG-010    | minor     | Sidebar / Auditoria          | Menu Auditoria visible para Administrador, no solo SuperUsuario
KOI-001    | critical  | Configuracion / Parametros / | Botones eliminar (btn-swal-confirm fuera del form) no ejecutan el delete
KOI-002    | major     | P-04 Estado de Resultados An | Falta boton y accion Export Excel en vista Anual ER
KOI-003    | major     | Sidebar / P-04 Vista Anual E | Inversor no ve link 'Vista Anual ER' en el sidebar
KOI-004    | major     | P-08 Cierre de periodo / Pre | Consumos del inversor pueden superar el bruto sin validacion bloqueante
KOI-005    | blocker   | Camaras / Sidebar global     | CamarasController no existe — sidebar genera 404 para todos los usuarios
KOI-006    | major     | Sidebar / Notificaciones Con | NotificacionesConfigController no existe — link en sidebar genera 404 para Admin
DN-001     | blocker   | Ventas / Listado (DataTable  | NullReferenceException al filtrar/paginar listado con multiples Include de coleccion + OrderBy dinamico + Skip/Take
DN-002     | major     | Pagos / Listado (DataTable s | Mismo patron de riesgo (Include de coleccion + WHERE/OrderBy dinamico + Skip/Take) presente en PagosController.ListarPagos, no reproducido/confirmado aun con 500 real
GAN-001    | minor     | Egresos / Create (grilla din | Guard de servidor 'al menos un pago' nunca se dispara por su condicion original; el bloqueo real ocurre por casualidad via el Range del Importe de una fila fantasma con mensaje enganoso
GAN-002    | minor     | Egresos / migracion EF con b | Backfill de EgresoPago desde Egresos historicos no reconstruye FechaVencimiento para pagos historicos con FormaDePago=Cheque (dato esperado, no bug, documentar para no confundir a QA futuro)
GAN-003    | major     | Egresos / Create (grilla din | 
GAN-004    | minor     | Egresos / Create (autocomple | El <datalist> de sugerencias de Concepto no siempre refresca su desplegable visible en el navegador tras poblarse de forma asincrona (quirk conocido de <datalist> nativo, no un bug del fetch/JSON)
VSF-001    | minor     | Pedidos / Cancelar pedido y  | Item vinculado a una CompraProveedor en estado Cancelada bloquea la cancelacion/eliminacion igual que si estuviera Generada+, aunque la compra ya no tiene ninguna obligacion activa
VSF-002    | minor     | Compras / Detalle (maquina d | Una CompraProveedor en Borrador no tiene forma de cancelarse: el diccionario de transiciones validas solo permite Borrador -> Generada, sin Borrador -> Cancelada, pese a que el diseno funcional aprobado lo exige
CRM-001    | major     | Bot / Outbound (BotControlle | Pausar/reanudar el scheduler outbound no genera ningun registro en AuditLog: el toggle es un flag estatico en memoria, sin escritura a AppDbContext, por lo que SaveChanges (unico disparador del audit trail automatico) nunca corre
CRM-002    | minor     | Contactos / Details (selecto | El selector manual de EstadoEmbudo en Contactos/Details es visible para el rol Vendedor pese a que la accion CambiarEstado exige RequireAdministracion (defensa en profundidad rota del lado de la vista)
CRM-003    | minor     | Contactos / Index e Industri | Click en el encabezado de una columna del DataTable no reordena los datos: GetData de ContactosController e IndustriasController ignoran los parametros order[0][column]/order[0][dir] que DataTables envia y siempre devuelven un orden fijo
CRM-004    | major     | Bot / Outbound (BotControlle | La busqueda manual de prospectos por Google Maps no maneja DbUpdateException por telefono duplicado dentro del mismo batch, a diferencia de OutboundSchedulerService que si lo hace: un duplicado entre resultados de distintas queries del mismo rubro puede tirar abajo toda la carga
CRM-005    | minor     | Bot — maquina de estados Fas | Un rubro no reconocido en AwaitingIndustry no asigna Categoria=rent_other como especifica la tabla de Diseno; en su lugar cae a 'rent' (solo se asigna rent_other si el texto es exactamente 'Otro rubro')
CRM-006    | major     | Bot — notificacion a Joaquin | La notificacion in-app (campanita) al calificar o pedir demo nunca se crea: BotFlowService solo envia el brief por WhatsApp (SendBriefToAdminAsync), INotificationService no esta inyectado ni se referencia en ningun punto del flujo del bot
MH-001     | major     | Stock / GetData (listado de  | 500 en listado de movimientos de stock al resolver nombres de usuario: el provider MySQL de EF Core 10 no soporta un IN generado desde una coleccion local (Contains sobre HashSet<string>)
MH-002     | minor     | Stock / Listado de movimient | Enum TipoMovimientoStock serializado como int rompe el badge de color del listado de movimientos
MH-003     | minor     | Compras / Pago de OC con che | Fecha de emision del cheque acepta una fecha futura via POST directo: el date picker restringe max=hoy solo en el cliente, sin revalidacion server-side equivalente
MH-004     | minor     | Caja mensual / Desglose fact | El desglose Facturado/No facturado de Caja mensual puede sumar menos que el total de Ingresos del periodo mostrado, si dentro del periodo se anulo algun Gasto
MH-005     | minor     | Ventas / Remito publico (Ven | El remito de una Venta (descarga autenticada por Id, generacion de link publico, y el endpoint publico por token) no revalidaba el estado de la Venta server-side — una Venta Cancelada (o Pendiente sin pago real) seguia sirviendo el PDF pese a que Ventas/Details.cshtml oculta la card entera para Cancelada y muestra un mensaje en vez de los botones para Pendiente
MH-006     | major     | Ventas / Comprobante publico | El link publico de 'Enviar por WhatsApp' siempre servia el remito interno, incluso cuando la Venta ya tenia una factura AFIP emitida — el diseño aprobado exigia que el link eligiera automaticamente cual de los dos documentos corresponde
MH-007     | major     | Caja mensual / Proyeccion fi | El movimiento de ajuste de apertura (CR-18, lleva el saldo de CC Local a $0 tras importar el historico) se sumaba como Egreso/Ingreso real del mes en que se postea, distorsionando Caja mensual y Proyeccion financiera
MH-008     | minor     | Compras / Registrar pago (Pa | Mensaje de error de metodo de pago no valido para OC quedo desactualizado tras habilitar Mercado Pago (CR-27): seguia listando solo Efectivo/Transferencia/Cheque/Deposito
MH-009     | major     | Entregas / Cheques / Gastos  | El fix global de horario Argentina (UnspecifiedAsUtcDateTimeConverter, forzado de Kind=Utc antes de serializar) hace retroceder un dia la fecha mostrada en 3 listados para los campos que son 'fecha calendario pura' (sin hora real), porque moment.js les aplica la conversion de huso horario -3h que antes no se aplicaba
MH-010     | critical  | Ventas — Crear/Editar (campo | jquery.maskMoney.js nunca dispara el evento nativo 'input' del navegador durante la escritura — solo dispara 'change' de jQuery, y unicamente al perder el foco — por lo que un handler que sincroniza el array JS de estado escuchando solo 'input' queda desactualizado con lo que el usuario tipeo hasta que el campo hace blur
MH-011     | major     | Facturacion AFIP — precarga  | La precarga de PrecioUnitario en la pantalla de Facturar siempre usa el precio 'Negro' (VentaItem.PrecioUnitario) aunque la linea se haya vendido a precio 'Con IVA' (TipoPrecio=Tarjeta), precargando sistematicamente un valor mas bajo que lo realmente cobrado
MH-012     | major     | Facturacion AFIP — emision d | Ampliar TipoComprobanteAfip con NotaCreditoA/B (CR-55) dejo el camino 'Facturar' aceptando esos 2 valores nuevos: un POST manipulado emite una Nota de Credito huerfana (sin CbtesAsoc) que ademas INCREMENTA CantidadFacturada
MH-013     | minor     | Dashboard / Caja mensual / P | Una Venta cuya unica Factura fue anulada por Nota de Credito (CR-55) sigue contando como 'Facturada' hasta que se refacture, porque la propia NC es un ComprobanteAfip con Estado=Emitido y el mismo VentaId
SG-001     | critical  | Stock / MatrizEditar (grilla | Una grilla que postea inputs numericos opcionalmente vacios contra un ViewModel con tipos de valor NO nullables bloquea el POST completo por error de model binding, sin guardar ninguna fila valida
LP-001     | major     | Clasificacion ABC automatica | El calculo por lote de rotacion ABC agrega ItemVenta de TODAS las Ventas de la ventana sin filtrar Venta.Estado: los borradores (carritos editables que todavia no vendieron) y las ventas anuladas cuentan como cantidad vendida e inflan la clase ABC sugerida del producto
ELV-001    | blocker   | Autorizacion global / Contro | 13 controllers sin [Authorize] y sin FallbackPolicy: un usuario NO autenticado lee y ESCRIBE datos del negocio
ELV-002    | major     | Alquileres / Editar (Alquile | UpdateAsync no valida FechaDevolucion >= Fecha, validacion que CreateAsync SI tiene (misma asimetria Create/Update que el bug H1 de contadores)
LP-003     | blocker   | ?                            | 
LIP-001    | major     | ABMs de catalogo y Produccio | Los errores de regla de negocio devueltos por el Service (ServiceResult.CreateError -> ModelState.AddModelError(string.Empty, ...)) no se muestran en ninguna parte: la vista vuelve a renderizarse sin ningun bloque de errores, con lo que el rechazo es invisible para el usuario
LP-004     | minor     | Listados DataTables server-s | El buscador global se pierde al volver al listado: las respuestas concurrentes del endpoint Listar escriben Session fuera de orden y la ultima en completar (con search vacio) pisa a la del texto que el usuario dejo tipeado
LP-005     | minor     | Cualquier pantalla de solo l | Al cambiar Descuento/Recargo de monto fijo a porcentaje se actualizo la pantalla de edicion pero NO la de Details: la venta facturada muestra un 10% como '$ 10,00', contradiciendo su propio Subtotal
MH-014     | minor     | Pagos con tarjeta / Index (P | La columna 'Fecha de pago' del listado nuevo aplica moment.utc() sobre PagoVenta.Fecha, que es un INSTANTE REAL en UTC y no una fecha calendario pura: para pagos registrados entre las 21:00 y las 23:59 de Argentina el listado muestra un dia mas que Ventas/Details y Ventas/Index para el mismo pago
MH-015     | trivial   | Pagos con tarjeta / Index (P | La columna 'Cuotas' se renderiza ordenable (default de DataTables) pero 'cantidadCuotas' no esta en el switch de SortColumn de VentaService.ListarPagosTarjetaAsync: al clickear el encabezado la flecha cambia y el listado se reordena por fecha de acreditacion, no por cuotas
MH-016     | minor     | Stock / edicion inline (Stoc | Cada edicion inline de stock reasigna Producto.RowVersion (token de concurrencia optimista): una carga masiva de stock invalida en silencio la previsualizacion abierta de Aumento masivo de precios y aborta el lote entero; ademas ActualizarStockAsync no captura DbUpdateConcurrencyException y filtra el mensaje crudo de EF en ingles al toast del usuario
MH-017     | minor     | Stock / listado de productos | El listado de Stock no muestra la columna Modelo (que si tiene Productos/Index) pero si ofrece el filtro por Modelo, y el link 'Ajustar stock' filtra por Nombre con match parcial: dos productos homonimos que solo se distinguen por Modelo se ven como dos filas identicas en la unica pantalla donde el stock se guarda al instante, sin confirmacion ni motivo
MH-018     | trivial   | Plantillas de gasto recurren | Recurrencia de MH-015 en superficie nueva: la columna 'Forma de pago' se renderiza ordenable (default de DataTables) pero 'formaPago' no esta en el switch de SortColumn de GastoRecurrenteService.ListarAsync; al clickear el encabezado la flecha cambia y el listado se reordena por Nombre ascendente, ignorando ademas la direccion pedida
MH-019     | major     | Dashboard (card 'Cheques por | Al cancelar una OC que tiene un pago programado con cheque, el cheque queda Pendiente para siempre (CR-67 le bloquea la acreditacion) y sigue sumando en la card 'Cheques por vencer' del Dashboard y en 'Cheques por vencer' / 'Pagos de compra programados' de la Proyeccion financiera: plata que ya no se va a pagar nunca, y sin ninguna forma de sacarla desde la UI
MH-020     | critical  | Ventas / Cancelacion (VentaS | Cancelar una Venta no daba de baja el PagoVenta que seguia Pendiente (nunca posteado en CC Local), y el reversal de la venta cancelada reversaba el Total nominal en vez de solo lo efectivamente cobrado — ademas, eliminar ese pago colgado hacia recalcular el Estado de la Venta y la sacaba de Cancelada
MH-021     | major     | Ventas / Compras — acreditac | La fecha de acreditacion/pago efectiva se posteaba en Cuenta Corriente con la fecha SUGERIDA cargada al registrar el pago (ej. la fecha estimada de liquidacion de una tarjeta a 6 cuotas), nunca con la fecha real en que el Administrador confirmo la accion — reportado por el cliente sobre las Ventas #687 y #681 en produccion
CRM-015    | major     | Matriz de modulos MVP/FULL — | Los modulos cuyo nombre EMPIEZA con una sigla salen deformados en el mensaje que se copia al WhatsApp del cliente: 'ABM Cuadrilla' -> 'aBM Cuadrilla', 'SEO basico y deploy' -> 'sEO basico y deploy', 'CRM de WhatsApp' -> 'cRM de WhatsApp'
CRM-016    | major     | Bot conversacional — mapeo r | Todo contacto del rubro 'comercio' que responde el bot recibe el checklist de modulos MVP de 'Alquiler de maquinaria' en vez del de 'Retail / comercio minorista', por una entrada mal apuntada en el diccionario de mapeo
GAN-005    | blocker   | Facturas de venta / Egresos  | Los inputs numericos de las FILAS de coleccion se parsean con la cultura del request (es-AR) porque el tag helper no emite para ellos el marcador __Invariant: un valor invariante como 1121670.00 entra al servidor como 112.167.000 (x100)
GAN-006    | blocker   | Facturas de venta / Egresos  | Editar una factura existente es imposible: jquery-validate bloquea el submit con 'Please enter a multiple of 0.01' porque los % se renderizan con 4 decimales (21.0000) contra un step 0.01
DN-003     | major     | Pagos / reversion de un pago | El fallback heuristico (VentaId + Monto) no se acoto a las filas SIN FK: revertir un pago historico puede soft-deletear el movimiento de caja de un pago NUEVO del mismo importe en la misma venta
DN-004     | major     | Pagos / Editar un pago ya po | Editar un pago (incluso solo la fecha) exige una caja chica ABIERTA y mueve el movimiento de caja desde la caja original â€” posiblemente ya CERRADA â€” a la caja abierta de hoy, alterando el arqueo de un cierre pasado
KOI-009    | major     | Global / URLs AJAX bajo apli | Las llamadas AJAX con URL absoluta desde la raiz (/Controller/Accion) dan 404 cuando la app esta deployada como aplicacion ANIDADA bajo un subdirectorio (/koi)
KOI-010    | minor     | P-03 Estado de Resultados me | El % de referencia de un concepto porcentual se repinta como '3.00 %' (punto) en vez de '3,00 %' (coma) tras revertir/guardar por AJAX
KOI-011    | critical  | Auditoria transversal / Audi | Una accion de auditoria de negocio mas larga que la columna Action mata en silencio la funcionalidad que la escribe
KOI-012    | major     | Migraciones de datos / conso | Una migracion de datos con ids de produccion escritos a mano traslada plata al concepto equivocado en cualquier otra base
KOI-013    | major     | Configuracion / Benchmarks d | El hidden en false escrito ANTES del checkbox hace que un bool siempre llegue en false al binder
KOI-014    | minor     | Dashboard / script de inicio | Un getElementById sin guard en el arranque deja la pantalla entera en blanco cuando el markup condicional no se renderizo
OLV-001    | minor     | Tema oscuro / combos Select2 | Con Select2 aplicado a todo select, los combos quedan blancos en tema oscuro porque el theme solo tenia override para .form-select
OLV-002    | minor     | Tema oscuro / alertas .ov-al | En tema oscuro el texto de las alertas .ov-alert queda oscuro sobre fondo oscuro (contraste 1,5-2,6) y el badge bg-info text-dark queda blanco sobre celeste
OLV-003    | minor     | Tema claro/oscuro / textos d | Texto rojo de accion o de motivo con contraste bajo: dropdown-item text-danger en tema oscuro (3,23) y motivo 'No disponible' dentro de una card con opacity .72 en tema claro (2,69)
OLV-004    | minor     | Tema claro/oscuro / botones  | Botones outline y enlaces con color de Bootstrap/marca sin variante por tema: btn-outline-secondary 3,12 en oscuro, btn-outline-info 1,96 y btn-outline-primary/enlaces 2,70-2,98 en claro
OLV-005    | major     | Formularios MVC con asp-for  | Una List<int> no anulable en el ViewModel recibe [Required] implicito: el tag helper emite data-val-required en ingles y el navegador bloquea el envio cuando el campo opcional queda vacio
OLV-006    | minor     | Grillas DataTables server-si | La busqueda global no encuentra por la columna Tamano visible: el valor se guarda en bytes y se formatea al proyectar, y la busqueda solo compara nombre, autor, tipo, lectura, partes y fecha
OLV-007    | blocker   | Grillas con filtros Select2  | Un <select> marcado con el atributo data-select2 rompe la inicializacion de Select2 y la pagina no carga la grilla: 'GetData(...).destroy is not a function'
OLV-008    | major     | ?                            | 
OLV-009    | minor     | Tema oscuro / elementos agre | Texto con clases de Bootstrap que cambian por tema (text-muted) dentro del popup blanco de SweetAlert2: en tema oscuro queda gris claro sobre blanco (2,56)
OLV-010    | major     | Acciones destructivas sobre  | El staff de Olvidata (rol de solo lectura) cancela por POST la tarea de una organizacion y, con M7a, tambien todas sus partes: la accion solo filtraba por 'la puedo ver'
OLV-011    | major     | Formularios de EDICION con u | Editar una asignacion ya vencida es imposible: el atributo min=hoy del input date bloquea el submit con 'Please enter a value greater than or equal to 2026-09-15.' (en ingles) aunque la fecha no se toque
